127.0.0.1 - - [16/Aug/2022:11:35:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:35:52 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:35:53 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:35:55 +0530] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:36:09 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:36:17 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:36:27 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:36:34 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:36:42 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:36:45 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:36:53 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:37:00 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:37:08 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:40:54 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:40:59 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:41:04 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:41:10 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:46:41 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:46:53 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:51:15 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:52:15 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:52:25 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:52:29 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:52:52 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:53:42 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:55:01 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [16/Aug/2022:11:55:05 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 1042
